Source,Target,Timestamp
1052,12212,2023
9982,4303,2023
9982,13688,2023
9982,12212,2023
4303,13688,2023
4303,12212,2023
13688,12212,2023
30,3765,2022
30,3457,2022
30,3636,2022
3765,3457,2022
3765,3636,2022
3457,3636,2022
31,3766,2005
31,3174,2005
31,292,2005
3766,3174,2005
3766,292,2005
3174,292,2005
32,587,2016
32,6995,2016
32,9983,2016
587,6995,2016
587,9983,2016
6995,9983,2016
33,3767,2018
33,6996,2018
33,3358,2018
3767,6996,2018
3767,3358,2018
6996,3358,2018
34,846,2016
34,99,2016
34,7783,2016
34,12266,2016
846,99,2016
846,7783,2016
846,12266,2016
99,7783,2016
99,12266,2016
7783,12266,2016
35,3768,2023
35,1919,2023
35,8847,2023
35,2922,2023
35,3490,2023
3768,1919,2023
3768,8847,2023
3768,2922,2023
3768,3490,2023
1919,8847,2023
1919,2922,2023
1919,3490,2023
8847,2922,2023
8847,3490,2023
2922,3490,2023
36,3769,2021
36,6997,2021
36,3309,2021
36,12267,2021
3769,6997,2021
3769,3309,2021
3769,12267,2021
6997,3309,2021
6997,12267,2021
3309,12267,2021
36,304,2017
36,2002,2017
36,2985,2017
304,2002,2017
304,2985,2017
2002,2985,2017
36,306,2010
36,9984,2010
36,5404,2010
306,9984,2010
306,5404,2010
9984,5404,2010
36,312,2019
36,1402,2019
36,2925,2019
36,3309,2019
312,1402,2019
312,2925,2019
312,3309,2019
1402,2925,2019
1402,3309,2019
2925,3309,2019
36,3770,2018
36,4532,2018
36,9985,2018
36,12268,2018
36,12547,2018
36,14205,2018
3770,4532,2018
3770,9985,2018
3770,12268,2018
3770,12547,2018
3770,14205,2018
4532,9985,2018
4532,12268,2018
4532,12547,2018
4532,14205,2018
9985,12268,2018
9985,12547,2018
9985,14205,2018
12268,12547,2018
12268,14205,2018
12547,14205,2018
36,3771,2008
37,2959,2011
37,1553,2011
37,9986,2011
37,12269,2011
2959,1553,2011
2959,9986,2011
2959,12269,2011
1553,9986,2011
1553,12269,2011
9986,12269,2011
38,82,2013
38,569,2013
38,1917,2013
82,569,2013
82,1917,2013
569,1917,2013
39,82,2017
39,6998,2017
39,549,2017
82,6998,2017
82,549,2017
6998,549,2017
39,82,2009
39,308,2009
39,1697,2009
39,12270,2009
39,2741,2009
39,4872,2009
82,308,2009
82,1697,2009
82,12270,2009
82,2741,2009
82,4872,2009
308,1697,2009
308,12270,2009
308,2741,2009
308,4872,2009
1697,12270,2009
1697,2741,2009
1697,4872,2009
12270,2741,2009
12270,4872,2009
2741,4872,2009
39,82,2010
39,8821,2010
39,2985,2010
82,8821,2010
82,2985,2010
8821,2985,2010
39,284,2014
39,761,2014
39,12271,2014
39,1080,2014
39,2922,2014
39,3309,2014
284,761,2014
284,12271,2014
284,1080,2014
284,2922,2014
284,3309,2014
761,12271,2014
761,1080,2014
761,2922,2014
761,3309,2014
12271,1080,2014
12271,2922,2014
12271,3309,2014
1080,2922,2014
1080,3309,2014
2922,3309,2014
39,3772,2019
39,1489,2019
39,1807,2019
39,8199,2019
3772,1489,2019
3772,1807,2019
3772,8199,2019
1489,1807,2019
1489,8199,2019
1807,8199,2019
39,308,2008
39,6999,2008
39,1634,2008
39,4360,2008
308,6999,2008
308,1634,2008
308,4360,2008
6999,1634,2008
6999,4360,2008
1634,4360,2008
39,308,2011
39,7000,2011
39,2741,2011
39,82,2011
39,4360,2011
39,493,2011
308,7000,2011
308,2741,2011
308,82,2011
308,4360,2011
308,493,2011
7000,2741,2011
7000,82,2011
7000,4360,2011
7000,493,2011
2741,82,2011
2741,4360,2011
2741,493,2011
82,4360,2011
82,493,2011
4360,493,2011
39,3773,2019
39,7001,2019
39,9987,2019
39,12272,2019
3773,7001,2019
3773,9987,2019
3773,12272,2019
7001,9987,2019
7001,12272,2019
9987,12272,2019
39,3774,2011
39,7002,2011
3774,7002,2011
39,2607,2014
39,7003,2014
39,308,2014
39,7780,2014
39,13689,2014
2607,7003,2014
2607,308,2014
2607,7780,2014
2607,13689,2014
7003,308,2014
7003,7780,2014
7003,13689,2014
308,7780,2014
308,13689,2014
7780,13689,2014
39,3775,2019
39,5304,2019
39,9988,2019
39,4360,2019
39,3641,2019
3775,5304,2019
3775,9988,2019
3775,4360,2019
3775,3641,2019
5304,9988,2019
5304,4360,2019
5304,3641,2019
9988,4360,2019
9988,3641,2019
4360,3641,2019
39,3776,2012
39,3309,2012
39,5065,2012
39,4453,2012
3776,3309,2012
3776,5065,2012
3776,4453,2012
3309,5065,2012
3309,4453,2012
5065,4453,2012
40,3777,2022
40,7004,2022
3777,7004,2022
41,3778,2021
41,7005,2021
41,9473,2021
3778,7005,2021
3778,9473,2021
7005,9473,2021
42,1033,2011
42,5218,2011
42,4668,2011
1033,5218,2011
1033,4668,2011
5218,4668,2011
43,3779,2023
43,5337,2023
43,4721,2023
43,12273,2023
43,6841,2023
43,14206,2023
3779,5337,2023
3779,4721,2023
3779,12273,2023
3779,6841,2023
3779,14206,2023
5337,4721,2023
5337,12273,2023
5337,6841,2023
5337,14206,2023
4721,12273,2023
4721,6841,2023
4721,14206,2023
12273,6841,2023
12273,14206,2023
6841,14206,2023
44,213,2018
44,759,2018
44,9989,2018
44,12274,2018
213,759,2018
213,9989,2018
213,12274,2018
759,9989,2018
759,12274,2018
9989,12274,2018
44,3780,2019
44,7006,2019
44,9990,2019
44,12275,2019
3780,7006,2019
3780,9990,2019
3780,12275,2019
7006,9990,2019
7006,12275,2019
9990,12275,2019
45,3781,2023
45,7007,2023
45,1272,2023
45,12276,2023
3781,7007,2023
3781,1272,2023
3781,12276,2023
7007,1272,2023
7007,12276,2023
1272,12276,2023
46,2143,2012
46,1349,2012
46,9991,2012
46,12277,2012
2143,1349,2012
2143,9991,2012
2143,12277,2012
1349,9991,2012
1349,12277,2012
9991,12277,2012
47,1432,2020
47,7008,2020
47,3901,2020
47,8874,2020
1432,7008,2020
1432,3901,2020
1432,8874,2020
7008,3901,2020
7008,8874,2020
3901,8874,2020
48,2307,2020
48,3174,2020
2307,3174,2020
49,1061,2021
49,1402,2021
49,2342,2021
1061,1402,2021
1061,2342,2021
1402,2342,2021
50,3782,2018
50,479,2018
50,2883,2018
50,4411,2018
50,3700,2018
3782,479,2018
3782,2883,2018
3782,4411,2018
3782,3700,2018
479,2883,2018
479,4411,2018
479,3700,2018
2883,4411,2018
2883,3700,2018
4411,3700,2018
50,864,2022
50,2363,2022
50,9992,2022
50,12278,2022
864,2363,2022
864,9992,2022
864,12278,2022
2363,9992,2022
2363,12278,2022
9992,12278,2022
50,1033,2010
50,7009,2010
1033,7009,2010
50,7010,2023
50,2002,2023
50,12279,2023
50,13690,2023
7010,2002,2023
7010,12279,2023
7010,13690,2023
2002,12279,2023
2002,13690,2023
12279,13690,2023
51,3783,2007
51,2776,2007
51,3062,2007
3783,2776,2007
3783,3062,2007
2776,3062,2007
52,1161,2020
52,7011,2020
52,9993,2020
52,2723,2020
1161,7011,2020
1161,9993,2020
1161,2723,2020
7011,9993,2020
7011,2723,2020
9993,2723,2020
53,3784,2013
53,9994,2013
3784,9994,2013
54,3785,2014
54,7012,2014
54,9995,2014
54,1697,2014
54,2041,2014
54,2002,2014
54,479,2014
3785,7012,2014
3785,9995,2014
3785,1697,2014
3785,2041,2014
3785,2002,2014
3785,479,2014
7012,9995,2014
7012,1697,2014
7012,2041,2014
7012,2002,2014
7012,479,2014
9995,1697,2014
9995,2041,2014
9995,2002,2014
9995,479,2014
1697,2041,2014
1697,2002,2014
1697,479,2014
2041,2002,2014
2041,479,2014
2002,479,2014
55,3786,2016
55,1301,2016
55,1366,2016
55,12280,2016
55,2002,2016
55,10164,2016
55,14431,2016
3786,1301,2016
3786,1366,2016
3786,12280,2016
3786,2002,2016
3786,10164,2016
3786,14431,2016
1301,1366,2016
1301,12280,2016
1301,2002,2016
1301,10164,2016
1301,14431,2016
1366,12280,2016
1366,2002,2016
1366,10164,2016
1366,14431,2016
12280,2002,2016
12280,10164,2016
12280,14431,2016
2002,10164,2016
2002,14431,2016
10164,14431,2016
55,1848,2018
55,7013,2018
55,2939,2018
1848,7013,2018
1848,2939,2018
7013,2939,2018
55,2088,2017
55,7014,2017
55,9996,2017
55,3742,2017
2088,7014,2017
2088,9996,2017
2088,3742,2017
7014,9996,2017
7014,3742,2017
9996,3742,2017
56,3787,2007
56,2283,2007
56,9997,2007
56,12281,2007
56,6762,2007
3787,2283,2007
3787,9997,2007
3787,12281,2007
3787,6762,2007
2283,9997,2007
2283,12281,2007
2283,6762,2007
9997,12281,2007
9997,6762,2007
12281,6762,2007
57,1323,2012
57,3062,2012
1323,3062,2012
58,3788,2017
58,479,2017
58,9998,2017
58,12282,2017
58,13691,2017
58,6114,2017
3788,479,2017
3788,9998,2017
3788,12282,2017
3788,13691,2017
3788,6114,2017
479,9998,2017
479,12282,2017
479,13691,2017
479,6114,2017
9998,12282,2017
9998,13691,2017
9998,6114,2017
12282,13691,2017
12282,6114,2017
13691,6114,2017
59,3789,2008
59,3131,2008
3789,3131,2008
60,275,2022
60,7015,2022
60,9999,2022
275,7015,2022
275,9999,2022
7015,9999,2022
60,603,2006
60,1687,2006
603,1687,2006
61,3790,2023
61,107,2023
61,10000,2023
61,12283,2023
3790,107,2023
3790,10000,2023
3790,12283,2023
107,10000,2023
107,12283,2023
10000,12283,2023
62,3791,2020
62,7016,2020
3791,7016,2020
63,116,2008
63,1553,2008
116,1553,2008
64,1323,2008
64,3062,2008
1323,3062,2008
65,2401,2011
65,7017,2011
65,10001,2011
2401,7017,2011
2401,10001,2011
7017,10001,2011
66,3792,2009
66,7018,2009
3792,7018,2009
66,3793,2023
66,2212,2023
66,2883,2023
66,12284,2023
3793,2212,2023
3793,2883,2023
3793,12284,2023
2212,2883,2023
2212,12284,2023
2883,12284,2023
66,3794,2023
66,1061,2023
66,10002,2023
3794,1061,2023
3794,10002,2023
1061,10002,2023
66,3135,2021
66,4024,2021
66,13383,2021
3135,4024,2021
3135,13383,2021
4024,13383,2021
66,2121,2014
66,10003,2014
66,3109,2014
2121,10003,2014
2121,3109,2014
10003,3109,2014
66,2381,2018
66,10004,2018
66,12285,2018
2381,10004,2018
2381,12285,2018
10004,12285,2018
66,1697,2022
66,1912,2022
66,2374,2022
66,8119,2022
1697,1912,2022
1697,2374,2022
1697,8119,2022
1912,2374,2022
1912,8119,2022
2374,8119,2022
66,1859,2018
66,7019,2018
1859,7019,2018
66,2363,2018
66,708,2018
66,10005,2018
66,3308,2018
66,13692,2018
2363,708,2018
2363,10005,2018
2363,3308,2018
2363,13692,2018
708,10005,2018
708,3308,2018
708,13692,2018
10005,3308,2018
10005,13692,2018
3308,13692,2018
66,3795,2017
66,7020,2017
66,10006,2017
3795,7020,2017
3795,10006,2017
7020,10006,2017
66,3796,2018
66,7021,2018
3796,7021,2018
66,3797,2019
66,7022,2019
66,1859,2019
3797,7022,2019
3797,1859,2019
7022,1859,2019
67,784,2011
67,1127,2011
67,1399,2011
67,4015,2011
67,1929,2011
67,2093,2011
67,5065,2011
784,1127,2011
784,1399,2011
784,4015,2011
784,1929,2011
784,2093,2011
784,5065,2011
1127,1399,2011
1127,4015,2011
1127,1929,2011
1127,2093,2011
1127,5065,2011
1399,4015,2011
1399,1929,2011
1399,2093,2011
1399,5065,2011
4015,1929,2011
4015,2093,2011
4015,5065,2011
1929,2093,2011
1929,5065,2011
2093,5065,2011
68,3798,2021
68,3056,2021
68,10007,2021
68,1725,2021
3798,3056,2021
3798,10007,2021
3798,1725,2021
3056,10007,2021
3056,1725,2021
10007,1725,2021
69,70,2022
69,7023,2022
69,10008,2022
69,12286,2022
69,1787,2022
69,5802,2022
69,14432,2022
70,7023,2022
70,10008,2022
70,12286,2022
70,1787,2022
70,5802,2022
70,14432,2022
7023,10008,2022
7023,12286,2022
7023,1787,2022
7023,5802,2022
7023,14432,2022
10008,12286,2022
10008,1787,2022
10008,5802,2022
10008,14432,2022
12286,1787,2022
12286,5802,2022
12286,14432,2022
1787,5802,2022
1787,14432,2022
5802,14432,2022
70,3799,2016
70,2374,2016
70,12287,2016
3799,2374,2016
3799,12287,2016
2374,12287,2016
70,1070,2022
70,1399,2022
70,3095,2022
70,3465,2022
1070,1399,2022
1070,3095,2022
1070,3465,2022
1399,3095,2022
1399,3465,2022
3095,3465,2022
70,1366,2007
70,2395,2007
70,10009,2007
70,12288,2007
70,3419,2007
70,14207,2007
70,14433,2007
1366,2395,2007
1366,10009,2007
1366,12288,2007
1366,3419,2007
1366,14207,2007
1366,14433,2007
2395,10009,2007
2395,12288,2007
2395,3419,2007
2395,14207,2007
2395,14433,2007
10009,12288,2007
10009,3419,2007
10009,14207,2007
10009,14433,2007
12288,3419,2007
12288,14207,2007
12288,14433,2007
3419,14207,2007
3419,14433,2007
14207,14433,2007
70,7024,2021
70,10010,2021
7024,10010,2021
70,3800,2022
70,7025,2022
70,3082,2022
70,12289,2022
3800,7025,2022
3800,3082,2022
3800,12289,2022
7025,3082,2022
7025,12289,2022
3082,12289,2022
71,152,2021
71,673,2021
71,10011,2021
71,3322,2021
152,673,2021
152,10011,2021
152,3322,2021
673,10011,2021
673,3322,2021
10011,3322,2021
71,7026,2022
71,2500,2022
71,2603,2022
71,10278,2022
7026,2500,2022
7026,2603,2022
7026,10278,2022
2500,2603,2022
2500,10278,2022
2603,10278,2022
72,3801,2018
72,7027,2018
72,10012,2018
3801,7027,2018
3801,10012,2018
7027,10012,2018
72,7028,2013
72,1925,2013
