Date,Open,High,Low,Close,Volume
10.10.1927,122.764,122.764,122.643,122.733,533
11.10.1927,122.734,122.840,122.653,122.832,831
12.10.1927,122.832,122.861,122.688,122.714,658
13.10.1927,122.714,122.718,122.616,122.704,626
14.10.1927,122.703,122.711,122.559,122.592,937
15.10.1927,122.593,122.603,122.384,122.505,950
16.10.1927,122.505,122.540,122.411,122.442,993
17.10.1927,122.441,122.449,122.291,122.431,1011
18.10.1927,122.425,122.576,122.403,122.456,902
19.10.1927,122.456,122.552,122.420,122.482,811
20.10.1927,122.482,122.626,122.369,122.559,1031
21.10.1927,122.554,123.114,122.457,122.892,1253
22.10.1927,122.893,122.893,122.666,122.669,1155
23.10.1927,122.666,122.869,122.663,122.821,1153
24.10.1927,122.818,122.919,122.550,122.626,1277
25.10.1927,122.627,122.669,122.274,122.296,1008
26.10.1927,122.296,122.413,122.153,122.306,971
27.10.1927,122.304,122.350,122.229,122.278,815
28.10.1927,122.278,122.470,122.225,122.394,892
29.10.1927,122.394,122.652,122.385,122.558,1039
30.10.1927,122.558,122.678,122.542,122.651,1021
31.10.1927,122.651,122.786,122.601,122.786,1054
1.11.1927,122.781,122.810,122.545,122.582,872
2.11.1927,122.583,122.892,122.583,122.779,929
3.11.1927,122.786,122.933,122.771,122.802,801
4.11.1927,122.802,122.925,122.686,122.896,606
5.11.1927,122.895,123.121,122.891,123.062,363
6.11.1927,123.062,123.137,122.947,123.077,567
7.11.1927,123.080,123.139,123.048,123.077,531
8.11.1927,123.078,123.249,123.078,123.225,586
9.11.1927,123.225,123.297,123.222,123.282,468
10.11.1927,123.282,123.288,123.134,123.155,678
11.11.1927,123.158,123.214,123.081,123.180,766
12.11.1927,123.180,123.186,123.056,123.100,656
13.11.1927,123.100,123.178,122.972,122.981,568
14.11.1927,122.980,122.996,122.861,122.966,778
15.11.1927,122.966,122.966,122.746,122.767,1154
16.11.1927,122.767,122.947,122.657,122.906,1033
17.11.1927,122.906,123.015,122.870,122.906,779
18.11.1927,122.906,122.968,122.870,122.943,609
19.11.1927,122.943,122.956,122.701,122.831,515
20.11.1927,122.831,122.835,122.574,122.584,586
21.11.1927,122.586,122.692,122.539,122.664,598
22.11.1927,122.659,122.824,122.659,122.702,883
23.11.1927,122.702,122.715,122.540,122.608,964
24.11.1927,122.608,122.654,122.547,122.562,914
25.11.1927,122.563,122.570,122.480,122.549,690
26.11.1927,122.549,122.552,122.386,122.439,758
27.11.1927,122.439,122.518,122.336,122.430,937
28.11.1927,122.430,122.447,122.295,122.314,1052
29.11.1927,122.314,122.507,122.222,122.499,991
30.11.1927,122.499,122.579,122.399,122.400,1130
1.12.1927,122.400,122.411,122.134,122.185,891
2.12.1927,122.186,122.281,122.164,122.253,948
3.12.1927,122.251,122.251,122.033,122.033,649
4.12.1927,122.031,122.108,122.018,122.089,621
